id,premises,paragraph,conclusion,question,label,arg,statements,depth
496,"[""So long as modern liberalism has multiple roots, 'the notion that 'a hijacking is a robbery' is untrue' is true."", 'It is reasonable to believe that modern liberalism has multiple roots.']","So long as modern liberalism has multiple roots, 'the notion that 'a hijacking is a robbery' is untrue' is true. It is reasonable to believe that modern liberalism has multiple roots.",The notion that 'a hijacking is a robbery' is untrue.,The notion that 'a hijacking is a robbery' is untrue.,TRUE,"Modus Ponens: 
If [1], then (Not [0].). 
[1] 
Therefore, Not [0]..","{0: 'A hijacking is a robbery.', 1: 'Modern liberalism has multiple roots.'}",1
558,"['Once we know those that suggest if most cavies have rough coats, then exception isa knowledge are wrong, we also know that if some beetles live in layers, then hormones are made by pituitary glands.', ""The statement 'if some beetles live in layers, then hormones are made by pituitary glands' can be considered false.""]","Once we know those that suggest if most cavies have rough coats, then exception isa knowledge are wrong, we also know that if some beetles live in layers, then hormones are made by pituitary glands. The statement 'if some beetles live in layers, then hormones are made by pituitary glands' can be considered false.","Given that most cavies have rough coats, it can be inferred that exception isa knowledge.","Some people mistakenly believe that if most cavies have rough coats, then exception isa knowledge.",FALSE,"Modus Tonens: 
If (Not (If [0], then [1].).), then (If [2], then [3].). 
Not (If [2], then [3].). 
Therefore, If [0], then [1]..","{0: 'Most cavies have rough coats.', 1: 'Exception isa knowledge.', 2: 'Some beetles live in layers.', 3: 'Hormones are made by pituitary glands.'}",1
784,"[""One may reasonably assume that if if logic gates are digital components, then democracy is buttressed by science's values, then ice is a crystal."", 'The claim that ice is a crystal does not reflect reality.']","One may reasonably assume that if if logic gates are digital components, then democracy is buttressed by science's values, then ice is a crystal. The claim that ice is a crystal does not reflect reality.","The notion that 'if logic gates are digital components, then democracy is buttressed by science's values' is untrue.","The notion that 'if logic gates are digital components, then democracy is buttressed by science's values' is untrue.",TRUE,"Modus Tonens: 
If (If [0], then [1].), then [2]. 
Not [2]. 
Therefore, Not (If [0], then [1].)..","{0: 'Logic gates are digital components.', 1: ""Democracy is buttressed by science's values."", 2: 'Ice is a crystal.'}",1
239,"['It is a fact that either dripping pans are pans or if seasonal systems match the reproductive cycle of the cows to availability of forage, then public consequences are important for preventing the intergenerational transmission of violence.', 'Should it be the case that dripping pans are pans, it follows that forks are cutlery.', ""Whenever it is true that if seasonal systems match the reproductive cycle of the cows to availability of forage, then public consequences are important for preventing the intergenerational transmission of violence, 'forks are cutlery' is true.""]","It is a fact that either dripping pans are pans or if seasonal systems match the reproductive cycle of the cows to availability of forage, then public consequences are important for preventing the intergenerational transmission of violence. Should it be the case that dripping pans are pans, it follows that forks are cutlery. Whenever it is true that if seasonal systems match the reproductive cycle of the cows to availability of forage, then public consequences are important for preventing the intergenerational transmission of violence, 'forks are cutlery' is true.",The statement that states forks are cutlery is right.,The statement that 'forks are cutlery' is incorrect.,FALSE,"Disjunction Elimination: 
Either [1] or (If [2], then [3].). 
If [1], then [0]. 
If (If [2], then [3].), then [0]. 
Therefore, [0].","{0: 'Forks are cutlery.', 1: 'Dripping pans are pans.', 2: 'Seasonal systems match the reproductive cycle of the cows to availability of forage.', 3: 'Public consequences are important for preventing the intergenerational transmission of violence.'}",1
578,"['If addiction is a progressive disease that can be fatal, then the claim that hair usually grows back when treatments are over or even before does not correspond with reality.', 'The idea that addiction is a progressive disease that can be fatal is true.']","If addiction is a progressive disease that can be fatal, then the claim that hair usually grows back when treatments are over or even before does not correspond with reality. The idea that addiction is a progressive disease that can be fatal is true.",The claim that hair usually grows back when treatments are over or even before does not correspond with reality.,The claim that hair usually grows back when treatments are over or even before does not correspond with reality.,TRUE,"Modus Ponens: 
If [1], then (Not [0].). 
[1] 
Therefore, Not [0]..","{0: 'Hair usually grows back when treatments are over or even before.', 1: 'Addiction is a progressive disease that can be fatal.'}",1
55,"['Given that it is not the case that either dogs are capable of bark or peppermint oil can aid in oil secretion in skin, therefore preventing acne, it can be inferred that many birds have a stigma on all large follicles.', 'The claim that many birds have a stigma on all large follicles is false.']","Given that it is not the case that either dogs are capable of bark or peppermint oil can aid in oil secretion in skin, therefore preventing acne, it can be inferred that many birds have a stigma on all large follicles. The claim that many birds have a stigma on all large follicles is false.","Either dogs are capable of bark or peppermint oil can aid in oil secretion in skin, therefore preventing acne.",Either some dogs believe the only way to protect their valuables is through an act of aggression or peppermint oil can cause burning and gastrointestinal upset in some people.,Uncertain,"Modus Tonens: 
If (Not (Either [0] or [1].).), then [2]. 
Not [2]. 
Therefore, Either [0] or [1]..","{0: 'Dogs are capable of bark.', 1: 'Peppermint oil can aid in oil secretion in skin, therefore preventing acne.', 2: 'Many birds have a stigma on all large follicles.'}",1
906,"['There is good reason to believe that either consciousness allows leadership to flow through individuals and groups or vocabulary development is directly related to volume of reading.', ""One may reasonably assume that if consciousness allows leadership to flow through individuals and groups, then the statement that 'either some carbohydrates lead to imbalances or blood means human blood, human blood components, and products made from human blood' is incorrect."", ""When vocabulary development is directly related to volume of reading is true, it follows that the statement that 'either some carbohydrates lead to imbalances or blood means human blood, human blood components, and products made from human blood' is incorrect.""]","There is good reason to believe that either consciousness allows leadership to flow through individuals and groups or vocabulary development is directly related to volume of reading. One may reasonably assume that if consciousness allows leadership to flow through individuals and groups, then the statement that 'either some carbohydrates lead to imbalances or blood means human blood, human blood components, and products made from human blood' is incorrect. When vocabulary development is directly related to volume of reading is true, it follows that the statement that 'either some carbohydrates lead to imbalances or blood means human blood, human blood components, and products made from human blood' is incorrect.","The statement that 'either some carbohydrates lead to imbalances or blood means human blood, human blood components, and products made from human blood' is incorrect.","There is good reason to believe that either some carbohydrates lead to imbalances or blood means human blood, human blood components, and products made from human blood.",FALSE,"Disjunction Elimination: 
Either [2] or [3]. 
If [2], then (Not (Either [0] or [1].).). 
If [3], then (Not (Either [0] or [1].).). 
Therefore, Not (Either [0] or [1].)..","{0: 'Some carbohydrates lead to imbalances.', 1: 'Blood means human blood, human blood components, and products made from human blood.', 2: 'Consciousness allows leadership to flow through individuals and groups.', 3: 'Vocabulary development is directly related to volume of reading.'}",1
175,"['If most active substances contain impurities, then the statement, if pollinators rely on plants, then some iguanas have typical appearances, does not hold.', 'It is the case that most active substances contain impurities.']","If most active substances contain impurities, then the statement, if pollinators rely on plants, then some iguanas have typical appearances, does not hold. It is the case that most active substances contain impurities.","The statement, if pollinators rely on plants, then some iguanas have typical appearances, does not hold.","So long as pollinators rely on plants, 'some iguanas have typical appearances' is true.",FALSE,"Modus Ponens: 
If [2], then (Not (If [0], then [1].).). 
[2] 
Therefore, Not (If [0], then [1].)..","{0: 'Pollinators rely on plants.', 1: 'Some iguanas have typical appearances.', 2: 'Most active substances contain impurities.'}",1
14,"['It is rational to believe that either human beings are creatures of habit, fearful of what is foreign or we know that the claim that if green power is a term for electricity generated from a renewable resource in a non-polluting way, then daylilies thrive almost anywhere and they multiply and spread is false.', 'The claim that human beings are creatures of habit, fearful of what is foreign does not correspond with reality.']","It is rational to believe that either human beings are creatures of habit, fearful of what is foreign or we know that the claim that if green power is a term for electricity generated from a renewable resource in a non-polluting way, then daylilies thrive almost anywhere and they multiply and spread is false. The claim that human beings are creatures of habit, fearful of what is foreign does not correspond with reality.","We know that the claim that if green power is a term for electricity generated from a renewable resource in a non-polluting way, then daylilies thrive almost anywhere and they multiply and spread is false.",The notion that 'green power is electricity generated from renewable energy sources' is untrue.,Uncertain,"Disjunctive Syllogism: 
Either [2] or (Not (If [0], then [1].).). 
Not [2]. 
Therefore, Not (If [0], then [1].)..","{0: 'Green power is a term for electricity generated from a renewable resource in a non-polluting way.', 1: 'Daylilies thrive almost anywhere and they multiply and spread.', 2: 'Human beings are creatures of habit, fearful of what is foreign.'}",1
77,"['There is good reason to believe that either either plastic material is melted and extruded through a shape forming die as a ribbon of melted material or manure isa fertilizer or trout is big in the spring and fall.', 'We know that the claim that either plastic material is melted and extruded through a shape forming die as a ribbon of melted material or manure isa fertilizer is false.']",There is good reason to believe that either either plastic material is melted and extruded through a shape forming die as a ribbon of melted material or manure isa fertilizer or trout is big in the spring and fall. We know that the claim that either plastic material is melted and extruded through a shape forming die as a ribbon of melted material or manure isa fertilizer is false.,We can assume that trout is big in the spring and fall.,Trouts expose to alkaline water.,Uncertain,"Disjunctive Syllogism: 
Either (Either [1] or [2].) or [0]. 
Not (Either [1] or [2].). 
Therefore, [0].","{0: 'Trout is big in the spring and fall.', 1: 'Plastic material is melted and extruded through a shape forming die as a ribbon of melted material.', 2: 'Manure isa fertilizer.'}",1
31,"['It is a fact that either hummers have a fast breathing rate, a fast heartbeat, and a high body temperature or shamanism speaks of beliefs, attitudes, convictions or ideological practices.', 'It is not the case that hummers have a fast breathing rate, a fast heartbeat, and a high body temperature.']","It is a fact that either hummers have a fast breathing rate, a fast heartbeat, and a high body temperature or shamanism speaks of beliefs, attitudes, convictions or ideological practices. It is not the case that hummers have a fast breathing rate, a fast heartbeat, and a high body temperature.","The statement 'shamanism speaks of beliefs, attitudes, convictions or ideological practices' can be considered true.","The statement 'shamanism speaks of beliefs, attitudes, convictions or ideological practices' can be considered true.",TRUE,"Disjunctive Syllogism: 
Either [1] or [0]. 
Not [1]. 
Therefore, [0].","{0: 'Shamanism speaks of beliefs, attitudes, convictions or ideological practices.', 1: 'Hummers have a fast breathing rate, a fast heartbeat, and a high body temperature.'}",1
481,"['Given that if orthogonal polynomials are easier to work with and interpret, then most fertilizer contains phosphorus, it can be inferred that the statement, most limbs support weight, does not hold.', 'Once we know orthogonal polynomials are easier to work with and interpret, we also know that most fertilizer contains phosphorus.']","Given that if orthogonal polynomials are easier to work with and interpret, then most fertilizer contains phosphorus, it can be inferred that the statement, most limbs support weight, does not hold. Once we know orthogonal polynomials are easier to work with and interpret, we also know that most fertilizer contains phosphorus.","The statement, most limbs support weight, does not hold.",Some people mistakenly believe that limbs have capacity.,Uncertain,"Modus Ponens: 
If (If [1], then [2].), then (Not [0].). 
If [1], then [2]. 
Therefore, Not [0]..","{0: 'Most limbs support weight.', 1: 'Orthogonal polynomials are easier to work with and interpret.', 2: 'Most fertilizer contains phosphorus.'}",1
310,"['At least one of two things is true: insecticides work, but only in the short term, or we know that the claim that unmated females produce only male progeny while mated females produce both sexes is false.', 'It is not true that insecticides work, but only in the short term.']","At least one of two things is true: insecticides work, but only in the short term, or we know that the claim that unmated females produce only male progeny while mated females produce both sexes is false. It is not true that insecticides work, but only in the short term.",We know that the claim that unmated females produce only male progeny while mated females produce both sexes is false.,We know that the claim that unmated females produce only male progeny while mated females produce both sexes is false.,TRUE,"Disjunctive Syllogism: 
Either [1] or (Not [0].). 
Not [1]. 
Therefore, Not [0]..","{0: 'Unmated females produce only male progeny while mated females produce both sexes.', 1: 'Insecticides work, but only in the short term.'}",1
311,"['It is a fact that either furans are similar chemicals and are often found with dioxins or if radiation helps ophthalmopathy by killing T lymphocytes to reduce inflammation behind the eyes, then family history is a factor, with strong evidence of genetic inheritance.', 'Assuming furans are similar chemicals and are often found with dioxins, we know that most cancers are due to an accumulation of damage to the DNA in our cells.', 'Given that if radiation helps ophthalmopathy by killing T lymphocytes to reduce inflammation behind the eyes, then family history is a factor, with strong evidence of genetic inheritance, it can be inferred that most cancers are due to an accumulation of damage to the DNA in our cells.']","It is a fact that either furans are similar chemicals and are often found with dioxins or if radiation helps ophthalmopathy by killing T lymphocytes to reduce inflammation behind the eyes, then family history is a factor, with strong evidence of genetic inheritance. Assuming furans are similar chemicals and are often found with dioxins, we know that most cancers are due to an accumulation of damage to the DNA in our cells. Given that if radiation helps ophthalmopathy by killing T lymphocytes to reduce inflammation behind the eyes, then family history is a factor, with strong evidence of genetic inheritance, it can be inferred that most cancers are due to an accumulation of damage to the DNA in our cells.",Those that suggest most cancers are due to an accumulation of damage to the DNA in our cells are right.,Cancer can develop in any part of the colon or in the rectum.,Uncertain,"Disjunction Elimination: 
Either [1] or (If [2], then [3].). 
If [1], then [0]. 
If (If [2], then [3].), then [0]. 
Therefore, [0].","{0: 'Most cancers are due to an accumulation of damage to the DNA in our cells.', 1: 'Furans are similar chemicals and are often found with dioxins.', 2: 'Radiation helps ophthalmopathy by killing T lymphocytes to reduce inflammation behind the eyes.', 3: 'Family history is a factor, with strong evidence of genetic inheritance.'}",1
883,"[""Whenever it is true that watery diarrhea leads to dehydration, 'an oculomotor is a cranial nerve' is true."", 'If watery diarrhea leads to dehydration, then we know that the claim that an oculomotor is a cranial nerve is false.']","Whenever it is true that watery diarrhea leads to dehydration, 'an oculomotor is a cranial nerve' is true. If watery diarrhea leads to dehydration, then we know that the claim that an oculomotor is a cranial nerve is false.",The claim that watery diarrhea leads to dehydration does not reflect reality.,It is the case that watery diarrhea leads to dehydration.,FALSE,"Reductio Ad Absurdum: 
If [0], then [1]. 
If [0], then (Not [1].). 
Therefore, Not [0]..","{0: 'Watery diarrhea leads to dehydration.', 1: 'An oculomotor is a cranial nerve.'}",1
788,"['We know that either fluoroscopy uses either continuous or pulsed X-ray beam or cohesion is an equal opportunity employer.', 'Some people mistakenly believe that fluoroscopy uses either continuous or pulsed X-ray beam.']",We know that either fluoroscopy uses either continuous or pulsed X-ray beam or cohesion is an equal opportunity employer. Some people mistakenly believe that fluoroscopy uses either continuous or pulsed X-ray beam.,Those that suggest cohesion is an equal opportunity employer are right.,Those that suggest cohesion is an equal opportunity employer are right.,TRUE,"Disjunctive Syllogism: 
Either [1] or [0]. 
Not [1]. 
Therefore, [0].","{0: 'Cohesion is an equal opportunity employer.', 1: 'Fluoroscopy uses either continuous or pulsed X-ray beam.'}",1
45,"['When more endorphins are released in the pituitary gland during times of pain or stress is true, it follows that cholera is also an infection associated with poverty.', 'more endorphins are released in the pituitary gland during times of pain or stress.']","When more endorphins are released in the pituitary gland during times of pain or stress is true, it follows that cholera is also an infection associated with poverty. more endorphins are released in the pituitary gland during times of pain or stress.",The statement 'cholera is also an infection associated with poverty' can be considered true.,"Cholera is a major public health problem in developing countries, causing enormous economic losses.",Uncertain,"Modus Ponens: 
If [1], then [0]. 
[1] 
Therefore, [0].","{0: 'Cholera is also an infection associated with poverty.', 1: 'More endorphins are released in the pituitary gland during times of pain or stress.'}",1
103,"['Either most worms cause neurological damage or if micronutrient promotes health, then faults are commonly major conduits for water.', ""So long as most worms cause neurological damage, 'prostaglandins differ in type depending on the type of fatty acids available' is true."", 'On the condition that if micronutrient promotes health, then faults are commonly major conduits for water, it is definitely the case that prostaglandins differ in type depending on the type of fatty acids available.']","Either most worms cause neurological damage or if micronutrient promotes health, then faults are commonly major conduits for water. So long as most worms cause neurological damage, 'prostaglandins differ in type depending on the type of fatty acids available' is true. On the condition that if micronutrient promotes health, then faults are commonly major conduits for water, it is definitely the case that prostaglandins differ in type depending on the type of fatty acids available.",It is true that prostaglandins differ in type depending on the type of fatty acids available.,"Prostaglandins have a very short life-span, which is why the body needs an abundant supply of EFAs.",Uncertain,"Disjunction Elimination: 
Either [1] or (If [2], then [3].). 
If [1], then [0]. 
If (If [2], then [3].), then [0]. 
Therefore, [0].","{0: 'Prostaglandins differ in type depending on the type of fatty acids available.', 1: 'Most worms cause neurological damage.', 2: 'Micronutrient promotes health.', 3: 'Faults are commonly major conduits for water.'}",1
760,"[""Whenever it is true that most jaguars use different kill methods, 'it is not true that clams are used as a filtrate so they eat the waste product of a fish and some micro organisms' is true."", 'It is true that most jaguars use different kill methods.']","Whenever it is true that most jaguars use different kill methods, 'it is not true that clams are used as a filtrate so they eat the waste product of a fish and some micro organisms' is true. It is true that most jaguars use different kill methods.",It is not true that clams are used as a filtrate so they eat the waste product of a fish and some micro organisms.,The statement 'clams are used as a filtrate so they eat the waste product of a fish and some micro organisms' is true.,FALSE,"Modus Ponens: 
If [1], then (Not [0].). 
[1] 
Therefore, Not [0]..","{0: 'Clams are used as a filtrate so they eat the waste product of a fish and some micro organisms.', 1: 'Most jaguars use different kill methods.'}",1
1,"['On the condition that it is not the case that crime also is considered the most serious problem in all age and income groups, it is definitely the case that physical activity is very important for older people.', 'Provided that it is not the case that crime also is considered the most serious problem in all age and income groups, we know that we know that the claim that physical activity is very important for older people is false.']","On the condition that it is not the case that crime also is considered the most serious problem in all age and income groups, it is definitely the case that physical activity is very important for older people. Provided that it is not the case that crime also is considered the most serious problem in all age and income groups, we know that we know that the claim that physical activity is very important for older people is false.",It is true that crime also is considered the most serious problem in all age and income groups.,It is true that crime also is considered the most serious problem in all age and income groups.,TRUE,"Reductio Ad Absurdum: 
If (Not [0].), then [1]. 
If (Not [0].), then (Not [1].). 
Therefore, [0].","{0: 'Crime also is considered the most serious problem in all age and income groups.', 1: 'Physical activity is very important for older people.'}",1
823,"[""So long as it is a common misconception that people say that bats like to fly into people's hair, 'overtime is a rule under the Employment Standards Act ' is true."", ""Once we know it is a common misconception that people say that bats like to fly into people's hair, we also know that some people mistakenly believe that overtime is a rule under the Employment Standards Act .""]","So long as it is a common misconception that people say that bats like to fly into people's hair, 'overtime is a rule under the Employment Standards Act ' is true. Once we know it is a common misconception that people say that bats like to fly into people's hair, we also know that some people mistakenly believe that overtime is a rule under the Employment Standards Act .",It is the case that people say that bats like to fly into people's hair.,People suffering from clinical depression tend to have difficulties eating and sleeping.,Uncertain,"Reductio Ad Absurdum: 
If (Not [0].), then [1]. 
If (Not [0].), then (Not [1].). 
Therefore, [0].","{0: ""People say that bats like to fly into people's hair."", 1: 'Overtime is a rule under the Employment Standards Act .'}",1
710,"['Should it be the case that electronic communication can provide respondents with time to reflect, prior to responding, it follows that work is located in offices.', 'If electronic communication can provide respondents with time to reflect, prior to responding, then the claim that work is located in offices is false.']","Should it be the case that electronic communication can provide respondents with time to reflect, prior to responding, it follows that work is located in offices. If electronic communication can provide respondents with time to reflect, prior to responding, then the claim that work is located in offices is false.","The statement 'electronic communication can provide respondents with time to reflect, prior to responding' can be considered false.",It is not the case that electronic communications play an increasingly important role in everyday life of European citizens.,Uncertain,"Reductio Ad Absurdum: 
If [0], then [1]. 
If [0], then (Not [1].). 
Therefore, Not [0]..","{0: 'Electronic communication can provide respondents with time to reflect, prior to responding.', 1: 'Work is located in offices.'}",1
614,"[""If standards of care exist for every medical specialty, then ship brokers buy and sell yachts, ships, other vessels and ships' cargo space on behalf of clients."", ""The statement 'standards of care exist for every medical specialty' can be considered true.""]","If standards of care exist for every medical specialty, then ship brokers buy and sell yachts, ships, other vessels and ships' cargo space on behalf of clients. The statement 'standards of care exist for every medical specialty' can be considered true.","It is fair to say that ship brokers buy and sell yachts, ships, other vessels and ships' cargo space on behalf of clients.","We know that the claim that ship brokers buy and sell yachts, ships, other vessels and ships' cargo space on behalf of clients is false.",FALSE,"Modus Ponens: 
If [1], then [0]. 
[1] 
Therefore, [0].","{0: ""Ship brokers buy and sell yachts, ships, other vessels and ships' cargo space on behalf of clients."", 1: 'Standards of care exist for every medical specialty.'}",1
